no,smiles,IC50,desviacion
3,c1c(oc(c1)c1sc(nn1)NC)[N+](=O)[O-],54.00,0.17
4,c1c(oc(c1)c1sc(nn1)NCC)[N+](=O)[O-],50.00,0.80
5,c1c(oc(c1)c1sc(nn1)N1CC1)[N+](=O)[O-],55.50,0.66
6,c1c(oc(c1)c1sc(nn1)NCCO)[N+](=O)[O-],21.00,0.65
7,c1c(oc(c1)c1sc(nn1)NCCCO)[N+](=O)[O-],18.00,0.20
8,c1c(oc(c1)c1sc(nn1)NCCOC)[N+](=O)[O-],28.00,0.94
9,c1c(oc(c1)c1sc(nn1)NC(C)(OC)OC)[N+](=O)[O-],13.00,0.53
10,c1c(oc(c1)c1sc(nn1)NCCN(CC)CC)[N+](=O)[O-],44.00,0.72
11,c1c(oc(c1)c1sc(nn1)NCCCN(CC)CC)[N+](=O)[O-],13.00,0.43
12,c1c(oc(c1)c1sc(nn1)NC(N(C(C)C)C(C)C)(C)C)[N+](=O)[O-],13.00,0.23
13,c1c(oc(c1)c1sc(nn1)NCCN(CCCC)CCCC)[N+](=O)[O-],25.00,0.20
14,c1c(oc(c1)c1sc(nn1)NC(CCCN(CC)CC)C)[N+](=O)[O-],33.00,0.76
15,c1c(oc(c1)c1sc(nn1)NC(CC)CO)[N+](=O)[O-],10.00,0.66
16,c1c(oc(c1)c1sc(nn1)NCCOCCO)[N+](=O)[O-],116.00,0.76
17,c1c(oc(c1)c1sc(nn1)NCC=C)[N+](=O)[O-],122.00,0.25
18,c1c(oc(c1)c1sc(nn1)NCC#C)[N+](=O)[O-],40.00,0.61
19,c1c(oc(c1)c1sc(nn1)NCCN1CCCC1)[N+](=O)[O-],110.00,0.45
20,c1c(oc(c1)c1sc(nn1)NCC1OCCC1)[N+](=O)[O-],53.00,0.32
21,c1c(oc(c1)c1sc(nn1)NCc1occc1)[N+](=O)[O-],41.00,0.82
22,c1c(oc(c1)c1sc(nn1)NCc1ccccc1)[N+](=O)[O-],258.00,0.45
23,c1c(oc(c1)c1sc(nn1)NCc1ccc(cc1)OC)[N+](=O)[O-],306.00,0.65
24,c1c(oc(c1)c1sc(nn1)NCc1ncccc1)[N+](=O)[O-],36.00,0.87
25,c1c(oc(c1)c1sc(nn1)NCc1cnccc1)[N+](=O)[O-],26.00,0.60
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
